type,category,part_number,title,price,upc,weight,length,width,height,location,manufacturer
wholegood,White Goods,84420600,"S20 FW EQ 2"" THRD ",75.34,7.88E+11,12,11,15,22.5,R,Pentair
wholegood,White Goods,84420605,"S20 FW EQ 2"" SLP ",70.3,7.88E+11,12,11,15,22.5,R,Pentair
wholegood,White Goods,84420630,"S20 FW EQ 2"" BEIGE ",70.3,7.88E+11,12,11,15,22.5,R,Pentair
wholegood,White Goods,84420635,"S20 FW EQ 2"" SLP BEIGE ",72.4,7.88E+11,9.32,22,15,11,R,Pentair
wholegood,White Goods,84420700,"S20 CW 2"" THRD ",66.24,7.88E+11,10,11,15,22.5,R,Pentair
wholegood,White Goods,84420705,"S20 CW 2"" SLP ",61.84,7.88E+11,10,11,15,22.5,R,Pentair
wholegood,White Goods,84420730,"S20 CW 2"" THRD BEIGE ",66.24,7.88E+11,9.7,22,15,11,R,Pentair
wholegood,White Goods,84420735,"S20 CW 2"" SLP BEIGE ",61.84,7.88E+11,10,23,11,15.25,R,Pentair
wholegood,White Goods,84420800,"S20 FW 2"" THRD ",62,7.88E+11,10,11,15,22.5,R,Pentair
wholegood,White Goods,84420805,"S20 FW 2"" SLP ",57.83,7.88E+11,10,11,15,22.5,R,Pentair
wholegood,White Goods,84452200,S20S FW EQ STD XLG ,99.67,7.88E+11,11.48,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,84472400,S20L FW STD XLG ,87.91,7.88E+11,11.72,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,84900300,S15 FW ,66.88,7.88E+11,10,23,11,16,R,Pentair
wholegood,White Goods,86201200,ANCHORCUP ASY ,5.69,7.88E+11,0.16,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,86201215,ANCHORCUP ASY DG ,7.65,7.88E+11,0.5,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,86201265,ANCHORCUP ASY GRY ,7.8,7.88E+11,0.5,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,86201300,ANCHORCUP ASY SS CRSBAR ,5.49,7.88E+11,0.5,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,86201302,ANCHORCUP ASY SS CRSBAR GRY,7.65,7.88E+11,N/A,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,86202705,"FTG RET/FIBOP 1.5""IF SLP ",5.1,7.88E+11,0.28,3.5,3.5,5.5,R,Pentair
wholegood,White Goods,86204200,"RDCR ADPT ASY 1""EYE ",5.49,7.88E+11,0.19,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,86204211,"RDCR ADPT ASY 1""EYE BLK ",5.7,7.88E+11,0.16,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,86204215,"RDCR ADPT ASY 1""EYE DG ",5.49,7.88E+11,0.19,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,86204265,"RDCR ADPT ASY 1"" EYE GRY ",5.49,7.88E+11,0.19,3.5,3.5,4.5,R,Pentair
wholegood,White Goods,86205100,"FTG RET/INLT 1.5"" VINYL  50PK BULK WHT",5.17,7.88E+11,0.5,3.25,3.25,5.25,R,Pentair
