part_number,title,base_price,cat_low_net_price,upc,uom,manufacturer,category
S310S,30 IN SAND FILTER -SIDE MOUNT-,$529.63 ,,6.10E+11,1,Hayward,wholegood
SP36120EE,"PUMP-TRISTAR WATERFALL, 120GPM",$529.51 ,,6.10E+11,1,Hayward,wholegood
WCV2600ES,"6"" CPVC WAFER FULL PATTERN CHK VLV EPDM SS SPRNG",$527.44 ,,6.10E+11,1,Hayward,wholegood
YS10400SU,"4"" PVC Y-STRAINER, SOC. UNION",$527.05 ,,6.10E+11,1,Hayward,
YS10400TU,"4"" PVC Y-STRAINER, THD. UNION",$527.05 ,,6.10E+11,1,Hayward,
SP0527LED100,"LIGHT-LED COLOR,POOL 120V/100FT CORD PLASTIC",$526.91 ,,7.61E+11,1,Hayward,wholegood
LPCUS11150,UCL POOL COLOR 12V 150FT,$524.29 ,,6.10E+11,1,Hayward,wholegood
ONCOM-RC,"CONTROL-BASE,ONCOM,W/RMT",$522.67 ,,7.61E+11,1,Hayward,wholegood
SP3210X152,"PUMP-1 1/2 HP TRISTAR,MAXRATE,2SP",$519.15 ,,6.10E+11,1,Hayward,wholegood
S311SX,30 IN SAND FILTER -SIDE MOUNT-,$514.24 ,,6.10E+11,1,Hayward,wholegood
SP3215EE,1.5 HP TRISTAR FULL RATE,$512.68 ,,6.10E+11,1,Hayward,
LPCUN11100,UCL POOL COLOR NETWORK 12V 100FT,$509.58 ,,6.10E+11,1,Hayward,wholegood
EC50C93SFT,PERFLEX EC50C W/1.5HP MATRIX PUMP & MICRO TIMER,$507.98 ,,6.10E+11,1,Hayward,wholegood
BYV11080A0EL000,"8"" BYV BFLY VLV PVC/PVC/EPDM LEVER",$505.84 ,,6.10E+11,1,Hayward,wholegood
SP322063EEV *,"PUMP - 2 HP TRISTAR, 3 PH, VAR SP",$504.86 ,,6.10E+11,1,Hayward,wholegood
EAUTN120STE,"2"" PVC/EPDM TN W/ EAU",$502.87 ,,6.10E+11,1,Hayward,
SP3010X152AZ,PUMP SUPERII 1-1/2HP 2SP RISER,$502.83 ,,6.10E+11,1,Hayward,wholegood
